game_count,p1,p1_score,p2,p2_score
1074,greedy,9,random,58
1075,greedy,17,random,29
1076,greedy,22,random,24
1077,greedy,20,random,33
1078,greedy,25,random,36
1079,greedy,14,random,42
1080,greedy,17,random,38
1081,greedy,14,random,48
1082,greedy,17,random,38
1083,greedy,13,random,44
1084,greedy,26,random,44
1085,greedy,27,random,43
1086,greedy,13,random,68
1087,greedy,10,random,46
1088,greedy,27,random,33
1089,greedy,22,random,28
1090,greedy,16,random,28
1091,greedy,16,random,51
1092,greedy,21,random,46
1093,greedy,22,random,42
1094,greedy,16,random,48
1095,greedy,20,random,29
1096,greedy,28,random,48
1097,greedy,18,random,32
1098,greedy,21,random,36
1099,greedy,22,random,44
1100,greedy,23,random,28
1101,greedy,15,random,31
1102,greedy,26,random,47
1103,greedy,22,random,25
1104,greedy,13,random,40
1105,greedy,13,random,29
1106,greedy,11,random,61
1107,greedy,18,random,42
1108,greedy,20,random,24
1109,greedy,21,random,30
1110,greedy,18,random,51
1111,greedy,17,random,51
1112,greedy,21,random,43
1113,greedy,14,random,44
1114,greedy,23,random,28
1115,greedy,23,random,43
1116,greedy,21,random,41
1117,greedy,21,random,29
1118,greedy,23,random,34
1119,greedy,26,random,29
1120,greedy,16,random,47
1121,greedy,17,random,56
1122,greedy,14,random,24
1123,greedy,13,random,23
1124,greedy,22,random,40
1125,greedy,18,random,55
1126,greedy,17,random,57
1127,greedy,19,random,24
1128,greedy,31,random,46
1129,greedy,23,random,34
1130,greedy,10,random,33
1131,greedy,14,random,49
1132,greedy,16,random,39
1133,greedy,21,random,36
1134,greedy,18,random,39
1135,greedy,31,random,43
1136,greedy,15,random,45
1137,greedy,20,random,33
1138,greedy,26,random,36
1139,greedy,19,random,32
1140,greedy,23,random,42
1141,greedy,21,random,43
1142,greedy,30,random,43
